Descriptor,Importance
TPSA,0.12155341758502508
logP,0.12152404153926451
AroRings,0.11827105492670263
MW,0.11195878622606609
qed,0.10552585144541274
FracCSP3,0.10299723142839548
RotBonds,0.0944435517842391
HeavyAtoms,0.05929914797657474
HBA,0.05792681854034304
HBD,0.04933511568297468
NumRings,0.03330680058221182
NOCount,0.023858182282790102
